sub,Face Perception,Scene Perception,Face WM,Scene WM
sub1,2.0836624537236594,2.1086622621525883,1.8106828437465234,1.828139806512171
sub2,2.248990050079977,2.2574664608809303,1.9150490377304417,1.9333374840136175
sub3,2.0815505252719895,2.169535431960276,1.8498988026393226,1.9204695270936274
sub4,2.124640958238924,2.1406578883304164,1.8616730535156314,1.8558520421832325
sub5,2.1159979474416373,2.1637361164691074,1.8246707489926448,1.8116324829928572
sub6,2.1221479009148716,2.170422228563625,1.8512506041046153,1.8937781972285188
sub7,2.148923759534274,2.1475825749007647,1.87319583085953,1.8798527379470882
sub8,2.1191997918388585,2.098290035558003,1.8445835062388798,1.8362256601378237
sub9,2.135289737477219,2.108186102791944,1.8404278248867034,1.822010844518792
