sub,run,regressor,VIF
6,19,Scene Perception,2.2694666456333157
6,19,Face WM,1.712456631701556
6,19,Scene WM,1.7796032152550414
6,20,Face Perception,2.079622934283895
6,20,Scene Perception,2.189965233559
6,20,Face WM,1.749064096401786
6,20,Scene WM,2.0743258920580496
6,21,Face Perception,2.031941984651315
6,21,Scene Perception,2.0665831264950816
6,21,Face WM,1.729507366408729
6,21,Scene WM,1.8991142685654816
6,22,Face Perception,2.15917635791218
6,22,Scene Perception,2.0803178051697437
6,22,Face WM,1.807254106224863
6,22,Scene WM,1.8342948348995378
6,23,Face Perception,2.1505667100928205
6,23,Scene Perception,2.0559941744723504
6,23,Face WM,1.9425530415300587
6,23,Scene WM,1.8627293432998346
6,24,Face Perception,2.2365821007951014
6,24,Scene Perception,2.236618300319796
6,24,Face WM,1.9888063201488326
6,24,Scene WM,2.008842916874978
6,25,Face Perception,2.018901393808142
6,25,Scene Perception,1.91280137985964
6,25,Face WM,1.9109460475808293
6,25,Scene WM,1.6623784232682681
6,26,Face Perception,2.08150754315631
6,26,Scene Perception,2.208531411081981
6,26,Face WM,1.9351832900570476
6,26,Scene WM,1.9764293539876587
6,27,Face Perception,2.1493139649122948
6,27,Scene Perception,2.095225782748821
6,27,Face WM,1.8121038322526999
6,27,Scene WM,1.83087425151651
6,28,Face Perception,2.065461814750175
6,28,Scene Perception,2.012573556106056
6,28,Face WM,1.7300924557241772
6,28,Scene WM,1.8340156978031887
6,29,Face Perception,2.017272827171662
6,29,Scene Perception,2.218611605558781
6,29,Face WM,1.8730741511670934
6,29,Scene WM,1.9352930161119832
6,30,Face Perception,2.2841789498984384
6,30,Scene Perception,1.9534594263720213
6,30,Face WM,1.9577332234345193
6,30,Scene WM,1.728808311515233
6,31,Face Perception,2.1844727224508818
6,31,Scene Perception,2.4090852984286975
6,31,Face WM,1.8387565644017978
6,31,Scene WM,2.1331989458784473
6,32,Face Perception,2.0146855035955444
6,32,Scene Perception,1.9162731322147222
6,32,Face WM,1.8104814783891894
6,32,Scene WM,1.7455509700327572
7,1,Face Perception,2.0327956690050843
7,1,Scene Perception,2.0573160903503207
7,1,Face WM,1.6779263130674096
7,1,Scene WM,1.8245025103750767
7,2,Face Perception,2.036039843762759
7,2,Scene Perception,1.930018940856287
7,2,Face WM,1.872007803577151
7,2,Scene WM,1.7406215992398995
7,3,Face Perception,1.9851701534630117
7,3,Scene Perception,2.1321907541881884
7,3,Face WM,1.7819285728346537
7,3,Scene WM,1.8503022577171921
7,4,Face Perception,2.179059906461012
7,4,Scene Perception,2.0971312158570434
7,4,Face WM,1.9988394273639696
7,4,Scene WM,1.8140826334808275
7,5,Face Perception,2.0471396163952225
7,5,Scene Perception,2.4962967004719605
7,5,Face WM,1.7189977106952603
7,5,Scene WM,2.2165715380809727
7,6,Face Perception,2.1176675063470314
7,6,Scene Perception,1.8815474036141835
7,6,Face WM,1.9429118641668912
7,6,Scene WM,1.823881508891009
7,7,Face Perception,2.11996912573134
7,7,Scene Perception,1.9959358696562393
7,7,Face WM,2.0350003033992268
7,7,Scene WM,1.718377954009443
7,8,Face Perception,2.0597271723913737
7,8,Scene Perception,2.1129298855860736
7,8,Face WM,1.7574713033572822
7,8,Scene WM,1.6669418795550826
7,9,Face Perception,2.245544671450295
7,9,Scene Perception,2.175740048015207
7,9,Face WM,1.7856942445613757
7,9,Scene WM,1.8883977891918398
7,10,Face Perception,2.1445646614863048
7,10,Scene Perception,2.3924714546170858
7,10,Face WM,1.8116550733311025
7,10,Scene WM,2.0193460722251966
7,11,Face Perception,2.113229148491895
7,11,Scene Perception,2.206587106730694
7,11,Face WM,1.875862911244481
7,11,Scene WM,1.9931974510420694
7,12,Face Perception,2.318559603127992
7,12,Scene Perception,2.215058396468705
7,12,Face WM,1.8551265403623411
7,12,Scene WM,2.0838554142795487
7,13,Face Perception,2.0533019030407025
7,13,Scene Perception,2.0267631108646276
7,13,Face WM,1.9167738792560258
7,13,Scene WM,1.8739369098239593
7,14,Face Perception,2.2403120140664856
7,14,Scene Perception,2.336552059806788
7,14,Face WM,2.2560175826758995
7,14,Scene WM,2.1342503237682755
7,15,Face Perception,2.1829110225481916
7,15,Scene Perception,2.169751830510512
7,15,Face WM,1.9156193595208362
7,15,Scene WM,1.860937758645759
7,16,Face Perception,2.1178529600093343
7,16,Scene Perception,2.053483690957053
7,16,Face WM,1.807737513448095
7,16,Scene WM,1.8465905448221465
7,17,Face Perception,2.374572948881467
7,17,Scene Perception,2.245423133348888
7,17,Face WM,1.9678384707579515
7,17,Scene WM,1.8459164770307661
7,18,Face Perception,2.284984104081057
7,18,Scene Perception,2.1352849653774184
7,18,Face WM,1.873601052319797
7,18,Scene WM,1.767385741277242
7,19,Face Perception,2.2572870787876886
7,19,Scene Perception,2.219492416204825
