sub,Perception,WM
sub1,2.4716115564682197,2.040422063373687
sub2,2.669863430927009,2.173798731472671
sub3,2.470983302621658,2.1034507066230215
sub4,2.522319527754642,2.097793094093572
sub5,2.5169127415571726,2.043886854685105
sub6,2.520109967210274,2.101015121511778
sub7,2.5408663447092388,2.134202169729252
sub8,2.4962562867876597,2.0720751751629263
sub9,2.47133111956756,2.041044578347488
