,mean,SD,SEM,CI95_low,CI95_high,n_subjects
Perception,2.520028253067048,0.061832303937815324,0.020610767979271773,2.472499736877114,2.5675567692569823,9
WM,2.089743166111056,0.045608084376680506,0.015202694792226835,2.054685689053934,2.124800643168178,9
