,mean,SD,SEM,CI95_low,CI95_high,n_subjects
Face Perception,2.1311559027246014,0.049282722089856984,0.01642757402995233,2.093273849080159,2.169037956369044,9
Scene Perception,2.1516154557341842,0.048395744058052394,0.016131914686017466,2.1144151937594673,2.188815717708901,9
Face WM,1.8523813614126992,0.029926148772328194,0.009975382924109398,1.8293780871394578,1.8753846356859405,9
Scene WM,1.8645887536253032,0.04438556563864669,0.014795188546215565,1.8304709876566048,1.8987065195940016,9
